       ORIGIN_PORT  DESTINATION_PORT
13241          5.0               5.0
13244         78.0              74.0
13256         13.0              15.0
13264         15.0              15.0
13277         16.0              17.0
13290          9.0               9.0
13296         31.0              33.0
13303        382.0             372.0
13342        146.0             149.0
13344          4.0               4.0
13360          6.0               6.0
13367         19.0              19.0
13377         15.0              13.0
13422         23.0              24.0
13433          8.0               8.0
13459          1.0               1.0
13476         14.0              14.0
13485         43.0              39.0
13486          9.0               8.0
13487        557.0             572.0
13495        202.0             206.0
13502          1.0               2.0
13577         32.0              33.0
13795          6.0               6.0
13796        221.0             221.0
13830        119.0             118.0
13851         87.0              83.0
13871         76.0              79.0
13873          4.0               4.0
13891         99.0             101.0
13930       1535.0            1532.0
13931         52.0              46.0
13933          4.0               6.0
13964          1.0               1.0
13970          4.0               4.0
14006          4.0               4.0
14025          1.0               1.0
14027        105.0             104.0
14057        264.0             266.0
14098          7.0               7.0
14100        355.0             358.0
14107        727.0             737.0
14108         25.0              26.0
14109          3.0               3.0
14113          3.0               3.0
14122        118.0             113.0
14150          4.0               4.0
14193         27.0              28.0
14222          1.0               1.0
14252         13.0              13.0
14254          4.0               4.0
14256          4.0               4.0
14262         47.0              46.0
14307         64.0              66.0
14321         25.0              25.0
14457         13.0              13.0
14487          4.0               4.0
14489         11.0              11.0
14492        165.0             155.0
14520          5.0               6.0
14524         85.0              87.0
14543          3.0               3.0
14570         65.0              68.0
14574         10.0              11.0
14576         41.0              43.0
14588          5.0               4.0
14633         11.0              11.0
14635        112.0             119.0
14674          6.0               6.0
14679        355.0             359.0
14683        146.0             141.0
14685         34.0              35.0
14689         34.0              33.0
14696         23.0              23.0
14698         15.0              15.0
14709          6.0               6.0
14711          4.0               4.0
14730         48.0              45.0
14747        622.0             620.0
14771        817.0             816.0
14783         30.0              29.0
14794         12.0              12.0
14814         33.0              31.0
14828          6.0               5.0
14831        185.0             184.0
14842          9.0               7.0
14843        124.0             130.0
14869        488.0             480.0
14893        201.0             198.0
14905          4.0               4.0
14908        202.0             192.0
14952          8.0               9.0
14960          6.0               7.0
14986         18.0              18.0
15016        238.0             233.0
15024         22.0              21.0
15027          4.0               5.0
15041          4.0               4.0
15048          3.0               3.0
15070          4.0               4.0
15096         33.0              31.0
15249         13.0              12.0
15295          5.0               5.0
15304        306.0             312.0
15323          7.0               8.0
15356         16.0              17.0
15370         69.0              69.0
15376         78.0              80.0
15380          9.0               8.0
15389          4.0               4.0
15401          5.0               5.0
15411         12.0              13.0
15412         35.0              34.0
15497          1.0               1.0
15607          5.0               4.0
15624         25.0              25.0
15841          4.0               4.0
15919         51.0              49.0
15991          4.0               4.0
16218          9.0              10.0
ABE         2274.0            2276.0
ABI         2329.0            2327.0
ABQ        19192.0           19188.0
ABR          671.0             671.0
ABY          876.0             876.0
ACK          492.0             492.0
ACT         1612.0            1611.0
ACV         1320.0            1319.0
